Host,Nematodes Rhabditida,Parasite,Family,Genus,Species_clean,Synonyms,Refs,Location,R_1,R_2,R_3,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12
Equus grevyi,Strongylida,Strongylus sp.,Strongylidae,Strongylus,Strongylus sp.,,1,Bangladesh Zoo,"(D'Silva, J. & Begum, M.,) (2000) 'Helminth infestation in zoo animals in Bangladesh.' Rivista di Parassitologia. Roma 16 (60) (3) (1999): 251-257 , 2 figs, 3 tabs.",,,,,,,,,,,,
Aepyceros melampus,Strongylida,Strongylus sp.,Strongylidae,Strongylus,Strongylus sp.,,2,"Kenya, Bangladesh Zoo","(D'Silva, J. & Begum, M.,) (2000) 'Helminth infestation in zoo animals in Bangladesh.' Rivista di Parassitologia. Roma 16 (60) (3) (1999): 251-257 , 2 figs, 3 tabs.","Kariuki, D P., Injairo, R., Boyce, W L., Wellde, B T., and S Ngethe (1989) Parasite survey of eight wild animals in the Ruma National Park. Annals of Tropical Medicine and Parasitology, 1: 115-118",,,,,,,,,,,
Giraffa camelopardalis,Strongylida,Strongylus sp.,Strongylidae,Strongylus,Strongylus sp.,,2,"Bangladesh Zoo, London Zoo","(D'Silva, J. & Begum, M.,) (2000) 'Helminth infestation in zoo animals in Bangladesh.' Rivista di Parassitologia. Roma 16 (60) (3) (1999): 251-257 , 2 figs, 3 tabs.",Porter (1947b),,,,,,,,,,,
Equus asinus,Strongylida,Strongylus sp.,Strongylidae,Strongylus,Strongylus sp.,,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,Strongylus spp.,Strongylidae,Strongylus,Strongylus sp.,,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Strongylus vulgaris Looss, l900",Strongylidae,Strongylus,Strongylus vulgaris,,14,,,,,,,,,,,,,,
Equus burchelli,Strongylida,Strongylus edentatus,Strongylidae,Strongylus,Strongylus edentatus,Schlerostomum edentatum,5,"Ethiopia, Kenya, London Zoo",Ricci (1939),Round (1962a),Turner (1920),Vevers (1920),"Els, H. J., Malan, F. S. and R. C. Scialdo-Krecek (1983) Scanning electron microscopy of Strongylus spp. in zebra. Onderstepoort Journal of Veterinary Research, 50: 257-265.",,,,,,,,
Camelus dromedarius,Strongylida,"Nematodirus dromedarii May, 1920",Trichostrongylidae,Nematodirus,Nematodirus dromedarii,,3,,,,,,,,,,,,,,
Equus burchelli,Strongylida,Strongylus vulgaris,Strongylidae,Strongylus,Strongylus vulgaris,Schlerostomum vulgare,11,"Tanzania, Rwanda, South Africa, Ethiopia, Kenya, London Zoo, Giza Zoo",Baylis (1923a),van den Berghe (1943),Ezzat (1945),Leiper (1909 and 1910e),Monnig (1928),Martinaglia (1937),Ricci (1939),Round (1962a),Turner (1920),Vevers (1920),"Zieger, U., Boomker, J., Cauldwell, A. E., and I. G. Horak (1998) Helminths and bot fly larvae of wild ungulates on a game ranch in Central Province, Zambia. Onderstepoort Journal of Veterinary Research, 65: 137-141","Els, H. J., Malan, F. S. and R. C. Scialdo-Krecek (1983) Scanning electron microscopy of Strongylus spp. in zebra. Onderstepoort Journal of Veterinary Research, 50: 257-265.",
Equus burchelli,Strongylida,Strongylus sp.,Strongylidae,Strongylus,Strongylus sp.,,3,"Kenya, Pretoria Zoo",Urquhart et al (1960),Hofmeyer (1956),LeRoux (1955a),,,,,,,,,,
Equus grevyi,Strongylida,Strongylus asini,Strongylidae,Strongylus,Strongylus asini,,1,Chicago Zoo,"Jaskaski and Colglazier (1956), Chicago Zoological Park",,,,,,,,,,,,
Equus grevyi,Strongylida,Strongylus vulgaris,Strongylidae,Strongylus,Strongylus vulgaris,,1,London Zoo,Vevers (1920 and 1922b),,,,,,,,,,,,
Alcelaphus buselaphus,Strongylida,Strongylus sp.,Strongylidae,Strongylus,Strongylus sp.,,1,Kenya,"Kariuki, D P., Injairo, R., Boyce, W L., Wellde, B T., and S Ngethe (1989) Parasite survey of eight wild animals in the Ruma National Park. Annals of Tropical Medicine and Parasitology, 1: 115-118",,,,,,,,,,,,
Bos taurus,Strongylida,"Strongyloides papillosus (Wedl, 1856)",Strongyloididae,Strongyloides,Strongyloides papillosus,,25,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Strongyloides papillosus (Wedl, 1856)",Strongyloididae,Strongyloides,Strongyloides papillosus,,1,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,Strongyloides spp.,Strongyloididae,Strongyloides,Strongyloides sp.,,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Strongyloides westeri Ihle, 1917",Strongyloididae,Strongyloides,Strongyloides westeri,,6,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Nematodirus filicollis (Rudolphi, 1802)",Trichostrongylidae,Nematodirus,Nematodirus filicollis,,6,,,,,,,,,,,,,,
Aepyceros melampus,Strongylida,"Strongyloides papillosus (Wedl, 1856)",Strongyloididae,Strongyloides,Strongyloides papillosus,,5,"Zimbabwe, South Africa","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.",Helminth parasites of cattle and antelope in a mixed farming system in Zimbabwe.,"Anderson, I. G. (1982) The prevalence of helminths in impala Aepyceros melampus (Lichtenstein 1812) under game ranching conditions. South African Journal of wildlife Research, 13: 55-70.",Round (Original),,,,,,,,
Oryx gazella,Strongylida,Longistringylus meyeri.,Trichostrongylidae,Longistrongylus,Longistrongylus meyeri,,1,South Africa,"Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.",,,,,,,,,,,,
Aepyceros melampus,Strongylida,Pneumostrongylus calcaratus,Protostrongylidae,Pneumostrongylus,Pneumostrongylus calcaratus,,9,"Swaziland, Zimbabwe, South Africa","(Gallivan, G.J., et al.,) (1989) 'Observations on the lungworm, Pneumostrongylus calcaratus, in impala (Aepyceros melampus) from Swaziland.' Journal of Wildlife Diseases. Ames, Iowa 25(1): 76-82 , 5 figs.","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","Anderson, I. G. (1982) The prevalence of helminths in impala Aepyceros melampus (Lichtenstein 1812) under game ranching conditions. South African Journal of wildlife Research, 13: 55-70.","Pletcher, J M, Horak, I G, De Vos, V, Boomker, J (1988) Hepatic lesions associated with Cooperioides hepaticae (Nematoda: Trichostrongyloidea) infection in impala (Aepyceros melampus) of the Kruger National Park [South Africa]. Journal of Wildlife Diseases, 24 (4) 650-655",Messer (1952),Monnig (1933a),Monnig (1932b),Ortlepp (1961a),Ortlepp (1962a),,,,
Aepyceros melampus,Strongylida,Strongyloides sp.,Strongyloididae,Strongyloides,Strongyloides sp.,,2,Bangladesh Zoo. Uganda,"(D'Silva, J. & Begum, M.,) (2000) 'Helminth infestation in zoo animals in Bangladesh.' Rivista di Parassitologia. Roma 16 (60) (3) (1999): 251-257 , 2 figs, 3 tabs.","(Ocaido, M., Siefert, L. & Baranga, J.,) (1999) 'Seasonal changes of impala (Aepyceros melampus, Lichtenstein, 1812) faecal egg counts through a one-year period.' African Journal of Ecology 37: 327-333 , 4 figs.",,,,,,,,,,,
Bos taurus,Strongylida,Strongyloides sp.,Strongyloididae,Strongyloides,Strongyloides sp.,,8,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Strongyloides sp. Pereira, 1973",Strongyloididae,Strongyloides,Strongyloides sp.,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,Strongyloides sp.,Strongyloididae,Strongyloides,Strongyloides sp.,,6,,,,,,,,,,,,,,
Equus burchelli,Strongylida,Strongyloides sp.,Strongyloididae,Strongyloides,Strongyloides sp.,,1,,Indice-Catalogo de Zooparasitos Ibericos. (in captivity),,,,,,,,,,,,
Equus grevyi,Strongylida,Strongyloides sp.,Strongyloididae,Strongyloides,Strongyloides sp.,,1,Bangladesh Zoo,"(D'Silva, J. & Begum, M.,) (2000) 'Helminth infestation in zoo animals in Bangladesh.' Rivista di Parassitologia. Roma 16 (60) (3) (1999): 251-257 , 2 figs, 3 tabs.",,,,,,,,,,,,
Giraffa camelopardalis,Strongylida,Strongyloides sp.,Strongyloididae,Strongyloides,Strongyloides sp.,,1,Bangladesh Zoo,"(D'Silva, J. & Begum, M.,) (2000) 'Helminth infestation in zoo animals in Bangladesh.' Rivista di Parassitologia. Roma 16 (60) (3) (1999): 251-257 , 2 figs, 3 tabs.",,,,,,,,,,,,
Loxodonta africana,Strongylida,"Quilonia africana Lane, 1921",Strongylidae,Quilonia,Quilonia africana,,8,"Zimbabwe, Congo Zoo, Uganda, South Africa, Congo","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Chabaud and Rousselot (1956a),Khalil (1922b),Lane (1921),Monnig (1926a),Vuylsteke (1935b),Vuylsteke (1953),Westhuysen (1938),,,,,
Loxodonta africana,Strongylida,Quilonia sp.,Strongylidae,Quilonia,Quilonia sp.,,1,"Zimbabwe, Congo","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Railliet and Henry (1918),,,,,,,,,,,
Giraffa camelopardalis,Strongylida,Strongyloides sp.,Strongyloididae,Strongyloides,Strongyloides sp.,,1,Stuttgart Zoo,Frank et al (1963),,,,,,,,,,,,
Oryx gazella,Strongylida,Strongyloides sp.,Strongyloididae,Strongyloides,Strongyloides sp.,,2,South Africa,"Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.","Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.",,,,,,,,,,,
Phaecochoerus aethiopicus,Strongylida,Strongyloides sp.,Strongyloididae,Strongyloides,Strongyloides sp.,,1,South Africa,"(Horak, I.G., et al.,) (1988) 'Parasites of domestic and wild animals in South Africa. XXIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal lowveld.' Onderstepoort Journal of Veterinary Research. Pretoria 55(3): 145-152 , 3 figs.",,,,,,,,,,,,
Equus burchelli,Strongylida,"Skrjabinodentus caragandicus (Funicova, 1939)",Strongylidae,Skrjabinodentus,Skrjabinodentus caragandicus,,1,NA,"[Strongylidae of domestic and wild horses.] Not original, distribution data given.",,,,,,,,,,,,
Bos taurus,Strongylida,"Stephanurus dentatus Diesing, 1839",Stephanurinae,Stephanurus,Stephanurus dentatus,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Spiculopteragia schulzi (Rajewskaja, 1930)",Trichostrongylidae,Spiculopteragia,Spiculopteragia schulzi,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Skrjabinagia lasensis Asadov, 1933",Trichostrongylidae,Skrjabinagia,Skrjabinagia lasensis,,1,,,,,,,,,,,,,,
Oryx gazella,Strongylida,Longistringylus sabie.,Trichostrongylidae,Longistrongylus,Longistrongylus sabie,,1,South Africa,"Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.",,,,,,,,,,,,
Bos taurus,Strongylida,"Skrjabinagia lyrata (Sjoberg, 1926)",Trichostrongylidae,Skrjabinagia,Skrjabinagia lyrata,,1,,,,,,,,,,,,,,
Syncerus caffer,Strongylida,"Longistrongylus meyeri Le Roux, 1931",Trichostrongylidae,Longistrongylus,Longistrongylus meyeri,,2,"Zimbabwe, Uganda","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Dinnik et al. (1963),,,,,,,,,,,
Bos taurus,Strongylida,"Nematodirus helvetianus May, 1920",Trichostrongylidae,Nematodirus,Nematodirus helvetianus,,24,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Nematodirus helvetianus May, 1920",Trichostrongylidae,Nematodirus,Nematodirus helvetianus,,2,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Nematodirus mauritanicus Maupas & Seurat, 1912",Trichostrongylidae,Nematodirus,Nematodirus mauritanicus,,4,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Nematodirus oiratianus Rajewskaja, 1929",Trichostrongylidae,Nematodirus,Nematodirus oiratianus,,4,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Nematodirus oiratianus Rajewskaja, 1929",Trichostrongylidae,Nematodirus,Nematodirus oiratianus,,3,,,,,,,,,,,,,,
Bos taurus,Strongylida,Nematodirus sp.,Trichostrongylidae,Nematodirus,Nematodirus sp.,,8,,,,,,,,,,,,,,
Bos taurus,Strongylida,Nematodirus spp.,Trichostrongylidae,Nematodirus,Nematodirus sp.,,8,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Poteriostomum imparidentatum Quiel, 1919",Strongylidae,Poteriostomum,Poteriostomum imparidentatum,Cylicostomum zebrae,4,"South Africa, London Zoo","[Strongylidae of domestic and wild horses.] Not original, distribution data given.",Monnig (1928),Turner (1920),Vevers (1920),,,,,,,,,
Equus asinus,Strongylida,"Poteriostomum imparidentatum Quiel, 1919",Strongylidae,Poteriostomum,Poteriostomum imparidentatum,,3,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Poteriostomum ratzii (Kotlan, 1919)",Strongylidae,Poteriostomum,Poteriostomum ratzii,Cylicostomum ratzii,3,"Zambia, South Africa","[Strongylidae of domestic and wild horses.] Not original, distribution data given.",Monnig (1928),LeRoux (1932),,,,,,,,,,
Equus asinus,Strongylida,"Poteriostomum ratzii (Kotlan, 1919)",Strongylidae,Poteriostomum,Poteriostomum ratzii,,4,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Poteriostomum skrjabini Ershov, 1939",Strongylidae,Poteriostomum,Poteriostomum skrjabini,,2,,,,,,,,,,,,,,
Equus asinus,Strongylida,Poteriostomum sp.,Strongylidae,Poteriostomum,Poteriostomum sp.,,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,Poteriostomum spp.,Strongylidae,Poteriostomum,Poteriostomum sp.,,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Petrovinema skrjabini (Erschow, 1930)",Strongylidae,Petrovinema,Petrovinema skrjabini,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Parelaphostrongylus tenuis (Dougherty, 1945)",Protostrongylidae,Parelaphostrongylus,Parelaphostrongylus tenuis,,1,,,,,,,,,,,,,,
Taurotragus oryx,Strongylida,"Parelaphostrongylus tenuis (Dougherty, 1945)",Protostrongylidae,Parelaphostrongylus,Parelaphostrongylus tenuis,,1,Ohio Zoo,"(Gandolf, A.R., et al.,) (2003) 'Intraocular nematodiasis caused by Parelaphostrongylus tenuis in an eland antelope (Taurotragus oryx).' Journal of Zoo and Wildlife Medicine 34(2): 194-199",,,,,,,,,,,,
Equus asinus,Strongylida,"Parapoteriostomum schuermanni (Ortlepp, 1962)",Strongylidae,Parapoteriostomum,Parapoteriostomum schuermanni,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Ostertagiella circumcincta (Stadelmann, 1894)",Trichostrongylidae,Ostertagiella,Ostertagiella circumcincta,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Teladorsagia circumcincta (Stadelman, 1894)",Trichostrongylidae,Teladorsagia,Teladorsagia circumcincta,,4,,,,,,,,,,,,,,
Oryx gazella,Strongylida,"Teladorsagia hamata (Monnig, 1832)",Trichostrongylidae,Teladorsagia,Teladorsagia hamata,,1,South Africa,"(Boomker, J. & Durette-desset, M.C.,) (2003) 'Parasites pf South African wildlife. XVII. Ostertagia triquetra sp. nov (Nematoda: Trichostrongylina) from the grey rhebuck, Pelea capreolus.' Onderstepoort Journal of Veterinary Research. Pretoria 70(1): 37-41",,,,,,,,,,,,
Bos taurus,Strongylida,"Teladorsagia trifurcata (Ransom, 1907)",Trichostrongylidae,Teladorsagia,Teladorsagia trifurcata,,2,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Trichonema aegyptiacum (Railliet, 1923)",Strongylidae,Strongylus,Strongylus tetracanthus,Trichonema aegyptiacum,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Trichonema alveatum (Looss, 1900)",Strongylidae,Cyathostomum,Cyathostomum alveatum,Trichonema alveatum,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Trichonema catinatum (Looss, 1900)",Strongylidae,Cyathostomum,Cyathostomum catinatum,Trichonema catinatum,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Trichonema longibursatum (Yorke & Macfie, 1918)",Strongylidae,Cyclicostephanus,Cyclicostephanus longibursatus,Trichonema longibursatum,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,Trichonema tetracanthum,Strongylidae,Cyathostomum,Cyathostomum tetracanthum,Trichonema tetracanthum,1,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,Nematodirus sp.,Trichostrongylidae,Nematodirus,Nematodirus sp.,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Trichostrongylus axei (Cobbold, 1879)",Trichostrongylidae,Trichostrongylus,Trichostrongylus axei,,41,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Trichostrongylus axei (Cobbold, 1879)",Trichostrongylidae,Trichostrongylus,Trichostrongylus axei,,12,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Trichostrongylus colubriformis (Giles, 1892)",Trichostrongylidae,Trichostrongylus,Trichostrongylus colubriformis,,12,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Nematodirus spathiger (Railliet, 1896)",Trichostrongylidae,Nematodirus,Nematodirus spathiger,,7,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Trichostrongylus colubriformis (Giles, 1892)",Trichostrongylidae,Trichostrongylus,Trichostrongylus colubriformis,,4,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Nematodirus spathiger (Railliet, 1896)",Trichostrongylidae,Nematodirus,Nematodirus spathiger,,4,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,Nematodirus spp.,Trichostrongylidae,Nematodirus,Nematodirus sp.,,1,,,,,,,,,,,,,,
Taurotragus oryx,Strongylida,"Trichostrongylus deflexus Boomker & Reinecke, 1989",Trichostrongylidae,Trichostrongylus,Trichostrongylus deflexus,,1,South Africa,"(Boomker, J. & Reinecke, R.K.,) (1989) 'A nematode parasite Trichostrongylus deflexus n.sp. from several South African antelope species.' South African Journal of Wildlife Research, Pretoria 19(1): 21-25 , 6 figs. 1 tab.",,,,,,,,,,,,
Bos taurus,Strongylida,"Trichostrongylus extenuatus (Railliet, 1898)",Trichostrongylidae,Trichostrongylus,Trichostrongylus extenuatus,,1,,,,,,,,,,,,,,
Alcelaphus buselaphus,Strongylida,Nematodirus spathiger,Trichostrongylidae,Nematodirus,Nematodirus spathiger,,1,South Africa,"Boomker, J., Horak, I. G., Watermeyer, R., and D. G. Booyse (2000) Parasites of South African wildlife. XVI. Helminths of some antelope species from the Eastern and Western Cape Provinces. Onderstepoort Journal of Veterinary Research, 67: 31-41",,,,,,,,,,,,
Oryx gazella,Strongylida,Nematodirus spathiger,Trichostrongylidae,Nematodirus,Nematodirus spathiger,,2,"South Africa, Johannesburg Zoo","Boomker, J., Horak, I. G., Watermeyer, R., and D. G. Booyse (2000) Parasites of South African wildlife. XVI. Helminths of some antelope species from the Eastern and Western Cape Provinces. Onderstepoort Journal of Veterinary Research, 67: 31-41",LeRoux (1930b),,,,,,,,,,,
Taurotragus oryx,Strongylida,"Nematodirus spathiger (Railliet, 1896)",Trichostrongylidae,Nematodirus,Nematodirus spathiger,,1,South Africa,"Boomker, J., Horak, I. G., Watermeyer, R., and D. G. Booyse (2000) Parasites of South African wildlife. XVI. Helminths of some antelope species from the Eastern and Western Cape Provinces. Onderstepoort Journal of Veterinary Research, 67: 31-41",,,,,,,,,,,,
Taurotragus oryx,Strongylida,Nematodirus sp.,Trichostrongylidae,Nematodirus,Nematodirus sp.,,1,New York Zoo,McClure (1932),,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Ostertagiella circumcincta (Stadelmann, 1894)",Trichostrongylidae,Ostertagiella,Ostertagiella circumcincta,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Trichostrongylus longispicularis Gordon, 1933",Trichostrongylidae,Trichostrongylus,Trichostrongylus longispicularis,,8,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Trichostrongylus probolurus (Railliet, 1896)",Trichostrongylidae,Trichostrongylus,Trichostrongylus probolurus,,7,,,,,,,,,,,,,,
Bos taurus,Strongylida,Trichostrongylus sp.,Trichostrongylidae,Trichostrongylus,Trichostrongylus sp.,,14,,,,,,,,,,,,,,
Phaecochoerus aethiopicus,Strongylida,"Phacocoerostrongylus hylochoeri (Van den Berghe, 1943)",Strongylidae,Phacocoerostrongylus,Phacocoerostrongylus hylochoeri,,3,Somalia,"(Iori, A. & Lanfranchi, P.,) (1994) 'Nematodes in wild mammals from Somalia.' Parassitologia. Roma 36 Suppl. 1: 82","(Iori, A. & Lanfranchi, P.,) (1994) 'Parasites of Phacochoerus aethiopicus (Pallas).' Parassitologia. Roma 36 Suppl. 1: 83","(Iori, A. & Lanfranchi, P.,) (1996) 'Contribution to the knowledge of helminthofauna of wild mammals of Somalia.' Parassitologia. Roma 38(3): 511-515 , 2 figs.",,,,,,,,,,
Taurotragus oryx,Strongylida,Trichostrongylus sp.,Trichostrongylidae,Trichostrongylus,Trichostrongylus sp.,,1,Zimbabwe,Helminth parasites of cattle and antelope in a mixed farming system in Zimbabwe.,,,,,,,,,,,,
Bos taurus,Strongylida,Trichostrongylus spp.,Trichostrongylidae,Trichostrongylus,Trichostrongylus sp.,,7,,,,,,,,,,,,,,
Phaecochoerus aethiopicus,Strongylida,Phacocoerostrongylus pricei,Strongylidae,Phacocoerostrongylus,Phacocoerostrongylus pricei,,2,"Congo, DC Zoo",Sandground (1937a),Schwartz (1928a),,,,,,,,,,,
Camelus dromedarius,Strongylida,Trichostrongylus spp.,Trichostrongylidae,Trichostrongylus,Trichostrongylus sp.,,2,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Trichostrongylus subtilis Looss, 1895",Trichostrongylidae,Trichostrongylus,Trichostrongylus subtilis,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Ostertagiella trifurcata (Ransom, 1907)",Trichostrongylidae,Ostertagiella,Ostertagiella trifurcata,,1,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Ostertagiella trifurcata (Ransom, 1907)",Trichostrongylidae,Ostertagiella,Ostertagiella trifurcata,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Trichostrongylus vitrinus Looss, 1905",Trichostrongylidae,Trichostrongylus,Trichostrongylus vitrinus,,5,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Trichostrongylus vitrinus Looss, 1905",Trichostrongylidae,Trichostrongylus,Trichostrongylus vitrinus,,2,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Grosspiculagia podjapolskyi (Schulz, Andreeva & Kadenazii, 1954)",Trichostrongylidae,Ostertagia,Ostertagia podjapolskyi,Grosspiculagia podjapolskyi,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Ostertagia (Grosspiculagia) lyrata (Sjoberg, 1926)",Trichostrongylidae,Ostertagia,Ostertagia lyrata,,1,,,,,,,,,,,,,,
Equus burchelli,Strongylida,Schultzitrichonema goldi,Strongylidae,Cylicocyclus,Cylicocyclus goldi,Cyclicostomum goldi,3,"Kenya, London Zoo","Department of Veterinary Services, Kenya, Laboratory Records, 1938",Turner (1920),Vevers (1920),,,,,,,,,,
Bos taurus,Strongylida,"Ostertagia bisonis Chapin, 1925",Trichostrongylidae,Ostertagia,Ostertagia bisonis,,5,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Triodontophorus brevicauda Boulenger, 1916",Strongylidae,Triodontophorus,Triodontophorus brevicauda,,1,NA,"[Strongylidae of domestic and wild horses.] Not original, distribution data given.",,,,,,,,,,,,
Equus asinus,Strongylida,"Triodontophorus brevicauda Boulenger, 1916",Strongylidae,Triodontophorus,Triodontophorus brevicauda,,3,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Triodontophorus burchelli Krecek, Kharchenko, Dvojnos, Malan & Krecek, 1997",Strongylidae,Triodontophorus,Triodontophorus burchelli,,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Triodontophorus hartmannae Krecek, Kharchenko, Dvojnos, Malan & Krecek, 1997",Strongylidae,Triodontophorus,Triodontophorus hartmannae,,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Triodontophorus minor (Looss, 1900)",Strongylidae,Triodontophorus,Triodontophorus minor,,2,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Triodontophorus nipponicus Yamaguti, 1943",Strongylidae,Triodontophorus,Triodontophorus nipponicus,,3,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Triodontophorus burchelli Krecek, Kharchenko, Dvojnos, Malan & Krecek, 1997    n.sp.",Strongylidae,Triodontophorus,Triodontophorus burchelli,,2,"Namibia, South Africa","(Krecek, R.C., Hill, E. & Els, H.J.,) (1994) 'Biological studies of filamentous bacteria associated with cyathostomes from a Burchell's zebra hindgut.' Journal of the Helminthological Society of Washington, 61(1): 109-113 , 8 figs.","Krecek, R. C., V. A. Kharchenko, et al. (1997). ""Triodontophorus burchelli sp. n. and Triodontophorus hartmannae sp. n. (Nematoda: Strongylidae) from the Burchell's, Hartmann's, and Cape Mountain Zebras in Southern Africa."" Journal of the Helminthological Society of Washington 64(1): 113-119.",,,,,,,,,,,
Equus burchelli,Strongylida,"Triodontophorus serratus (Looss, 1900)",Strongylidae,Triodontophorus,Triodontophorus serratus,Triodontophorus intermedius,5,"Zambia, Kenya, London Zoo, Anvers Zoo","[Strongylidae of domestic and wild horses.] Not original, distribution data given.",LeRoux (1932),Round (Original),Vevers (1920),Turner (1920),Vuylsteke (1956),,,,,,,
Equus asinus,Strongylida,"Triodontophorus serratus (Looss, 1900)",Strongylidae,Triodontophorus,Triodontophorus serratus,,8,,,,,,,,,,,,,,
Equus burchelli,Strongylida,Triodontophorus tennicollis,Strongylidae,Triodontophorus,Triodontophorus tenuicollis,,2,Kenya,Solomon (1932),"Department of Veterinary Services, Kenya, Laboratory Records",,,,,,,,,,,
Equus burchelli,Strongylida,Triodontophorus sp.,Strongylidae,Triodontophorus,Triodontophorus sp.,,1,"Zimbabwe, South Africa","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","Mares, R C, Amaral, L, and Fachada, L C (1984) Helminth parasites of game in Transkei. Journal of South African Veterinary Association, 55: 73-74",,,,,,,,,,,
Equus asinus,Strongylida,Triodontophorus sp.,Strongylidae,Triodontophorus,Triodontophorus sp.,,2,,,,,,,,,,,,,,
Equus asinus,Strongylida,Triodontophorus spp.,Strongylidae,Triodontophorus,Triodontophorus sp.,,2,,,,,,,,,,,,,,
