"Date","Period","Status","Treatment","X.","Tsect","Side","Dist","Elephant","Zebra","Giraffe","Hare","Cow","Buffalo","Impala","Rhino","Gazelle","Eland","Warthog","Eegg","Emult","Begg","Bmult","Cegg","Cmult","Zegg","Zmult","Iegg","Imult","Gegg","Gmult","Gagg","Gamult","Elegg","Elmult","all"
"9/21/2016",0,"Pre","CONT","Jericho","D",0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","D",0,80,0,252,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,336.913748514497,84902.2646256534,0,0,0,0,0,0,0,0,84902.2646256534
"9/21/2016",0,"Pre","CONT","Jericho","D",0,90,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","D",0,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","D",0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","D",0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","D",0,130,768,0,0,0,0,0,0,0,0,0,0,536.364269153717,411927.758710055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411927.758710055
"9/21/2016",0,"Pre","CONT","Jericho","D",0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","D",0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","E",0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.913748514497,72773.3696791315,0,0,0,0,0,0,0,0,72773.3696791315
"9/21/2016",0,"Pre","CONT","Jericho","E",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","E",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","E",0,30,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,152.548463371891,19526.203311602,0,0,0,0,0,0,0,0,0,0,19526.203311602
"9/21/2016",0,"Pre","CONT","Jericho","E",0,40,0,288,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.913748514497,97031.1595721753,0,0,23.5266144714778,705.798434144335,0,0,0,0,97736.9580063196
"9/21/2016",0,"Pre","CONT","Jericho","E",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","E",0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","E",0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","E",0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","E",0,90,0,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5266144714778,529.348825608251,0,0,0,0,529.348825608251
"9/21/2016",0,"Pre","CONT","Jericho","E",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","E",0,110,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.913748514497,145546.739358263,0,0,0,0,0,0,0,0,145546.739358263
"9/21/2016",0,"Pre","CONT","Jericho","E",0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","E",0,130,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","E",0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","E",0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","F",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","F",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","F",0,30,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","F",0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","F",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","F",0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","F",0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","F",0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","F",0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","F",0,100,1024,0,0,0,0,0,0,0,0,0,0,536.364269153717,549237.011613407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549237.011613407
"9/21/2016",0,"Pre","CONT","Jericho","F",0,110,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","F",0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","F",0,130,0,0,0,0,0,0,3.168,0,0,0,0,0,0,0,0,0,0,0,0,140.283045829943,444.416689189259,0,0,0,0,0,0,444.416689189259
"9/21/2016",0,"Pre","CONT","Jericho","F",0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","F",0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","A",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","A",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
