Host	Parasite	Reference	Is Prevalence Reported?	Is Prevalence Zero?
Sylvicapra grimmia	Cooperia	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Damaliscus lunatus	Cooperia	Reinecke, R. K., R. C. Krecek, et al. (1988). "Helminth Parasites from Tsessebes at Nylsvley Nature Reserve Transvaal South Africa." South African Journal of Wildlife Research 18(3): 73-77.	yes	no
Sylvicapra grimmia	Cooperia pectinata	Boomker, J., du Plessis, W. H. and E. A. Boomker (1983) Some helminths and arthropod parasites of the grey duiker, Sylvicapra grimmia. Onderstepoort Journal of Veterinary Medicine, 50: 233-241.	yes	no
Tragelaphus strepsiceros	Cooperia fuelleborni	Boomker, J., Horak, I. G., and De Vos, V. (1989) Parasites of South African wildlife. IV. Helminths of kudu, Tragelaphus strepsiceros, in the Kruger National Park. Onderstepoort Journal of Veterinary Research, 56: 111-121.	yes	no
Tragelaphus strepsiceros	Paracooperia devossi	Boomker, J., Anthonissen, M., and I. G. Horak (1988) Parasites of South african Wildlife. II. Helminths of kudu, Tragelaphus strepsiceros, from South West Africa/Namibia. Onderstepoort Journal of Veterinary Research, 55: 231-233	yes	no
Tragelaphus strepsiceros	Cooperia yoshidai	Boomker, J., Horak, I. G., and De Vos, V. (1989) Parasites of South African wildlife. IV. Helminths of kudu, Tragelaphus strepsiceros, in the Kruger National Park. Onderstepoort Journal of Veterinary Research, 56: 111-121.	yes	no
Connochaetes taurinus	Cooperia connochaeti	Horak, I G, De Vos, V, & M R Brown (1983) Parasites of domestic and wild animals in South Africa. XVI. Helminth and arthropdod parasites of blue and black wildebeest (Connochaetes taurinus and Connochaetes gnou). Onderstepoort Journal of Veterinary Research, 50: 243-255.	yes	no
Tragelaphus strepsiceros	Cooperia acutispiculum	Boomker, J., Horak, I. G., and De Vos, V. (1989) Parasites of South African wildlife. IV. Helminths of kudu, Tragelaphus strepsiceros, in the Kruger National Park. Onderstepoort Journal of Veterinary Research, 56: 111-121.	yes	no
Sylvicapra grimmia	Cooperia acutispiculum	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Sylvicapra grimmia	Cooperia neitzi	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Tragelaphus angasii	Paracooperia horaki	Boomker, J (1986) Paracooperia horaki n. sp (Nematoda: Trichostrongylidae) from the nyala, Tragelaphus angasi Gray, 1849. Onderstepoort Journal of Veterinary Research, 53: 161-165	yes	no
Tragelaphus strepsiceros	Cooperia hungi	Boomker, J., Horak, I. G., and De Vos, V. (1989) Parasites of South African wildlife. IV. Helminths of kudu, Tragelaphus strepsiceros, in the Kruger National Park. Onderstepoort Journal of Veterinary Research, 56: 111-121.	yes	no
Oryx gazella	Cooperia neitzi	Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.	yes	no
Tragelaphus angasii	Cooperia	Boomker, J., Booyse, D. G., Watermeyer, R., De Villiers, I. L., Horak, I. G., and J. R. B. Flamand (1996) Parasites of South African wildlife. XIV. Helminths of nyalas (Tragelaphus angasii) in the Mkuzi Game Reserve, KwaZulu-Natal. Onderstepoort Journal of Veterinary Research, 63: 265-271.	yes	no
Aepyceros melampus	Cooperia hungi	Horak, I. G., Boomker, J., Kingsley, S., and V. De Vos (1983) The efficacy of ivermectin against helminth and arthropod parasites of impala. Journal of the South African Veterinary Association, 54: 251-253	yes	no
Tragelaphus angasii	Cooperia rotundispiculum	Boomker, J., Horak, I. G., and J. R. B. Flamand (1991) Parasites of South African Wildlife. XII. Helminths of nyala, Tragelaphus angasii in Natal. Onderstepoort Journal of Veterinary Research, 58: 275-280	yes	no
Bison bonasus	Cooperia zurnabada	Drozdz, J., A. W. Demiaszkiewicz, et al. (1989a). "The Helminth Fauna of Free-Ranging European Bison Bison bonasus (L.)" Acta Parasitologica Polonica 34(2): 117-124.	yes	no
Tragelaphus strepsiceros	Cooperia neitzi	Boomker, J., Horak, I. G., and De Vos, V. (1989) Parasites of South African wildlife. IV. Helminths of kudu, Tragelaphus strepsiceros, in the Kruger National Park. Onderstepoort Journal of Veterinary Research, 56: 111-121.	yes	no
Damaliscus lunatus	Cooperia yoshidai	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Redunca arundinum	Cooperia yoshidai	Boomker, J, Horak, I G, Flamand, J R B, and Keep, M E (1989) Parasites of South African wildlife: III. Helminths of common reedbuck, Redunca arundinum, in Natal. Onderstepoort Journal of Veterinary Research, 56: 51-57	yes	no
Sus scrofa	Cooperia punctata	McKenzie, M. E. and W. R. Davidson (1989). "Helminth Parasites of Intermingling Axis Deer, Wild Swine and Domestic Cattle from the Island of Molokai, Hawaii USA." Journal of Wildlife Diseases 25(2): 252-257.	yes	yes
Redunca arundinum	Cooperia yoshidai	Boomker, J., Keep, M. E., Flamand, J. R. and I. G. Horak (1984) The helminths of various antelope species from Natal. Onderstepoort Journal of Veterinary Research, 51: 253-256	yes	no
